Open.Year,Show.Name,Show.Type,Show.Theatre
2008,13,Musical,Jacobs Theatre
1997,1776,Musical,Criterion Theatre
1997,1776,Musical,Gershwin Theatre
2007,110 In The Shade,Musical,Studio 54 Theatre
2009,33 Variations,Play,Eugene O'Neill Theatre
2001,42Nd Street '01,Musical,Ford Center Theatre
2001,45 Seconds From Broadway,Play,Richard Rodgers Theatre
2004,700 Sundays,Play,Broadhurst Theatre
2013,700 Sundays '13,Play,Imperial Theatre
2009,9 To 5,Musical,Marquis Theatre
2010,A Behanding In Spokane,Play,Schoenfeld Theatre
2007,A Bronx Tale,Play,Walter Kerr Theatre
2008,A Catered Affair,Musical,Walter Kerr Theatre
2006,A Chorus Line '06,Musical,Schoenfeld Theatre
2001,A Christmas Carol '01,Play,Marquis Theatre
2012,A Christmas Story,Musical,Lunt-Fontanne Theatre
2001,A Class Act,Musical,Ambassador Theatre
2003,A Day In The Death Of Joe Egg,Play,American Airlines Theatre
1996,A Delicate Balance,Play,Plymouth Theatre
2014,A Delicate Balance 2014,Play,Golden Theatre
1997,A Doll'S House,Play,Belasco Theatre
2010,A Free Man Of Color,Play,Vivian Beaumont Theatre
1996,A Funny Thing Happened On The Way To The Forum,Musical,St. James Theatre
2013,A Gentleman'S Guide To Love And Murder,Musical,Walter Kerr Theatre
2010,A Life In The Theatre,Play,Schoenfeld Theatre
1994,A Little More Magic,Special,Belasco Theatre
2009,A Little Night Music,Musical,Walter Kerr Theatre
2008,A Man For All Seasons,Play,American Airlines Theatre
1996,A Midsummer Night'S Dream,Play,Lunt-Fontanne Theatre
1998,A Mom'S Life,Special,Belasco Theatre
1995,A Month In The Country,Play,Criterion Theatre
2000,A Moon For The Misbegotten 00,Play,Walter Kerr Theatre
2007,A Moon For The Misbegotten 07,Play,Brooks Atkinson Theatre
2005,A Naked Girl On The Appian Way,Play,American Airlines Theatre
2013,A Night With Janis Joplin,Musical,Lyceum Theatre
2004,A Raisin In The Sun,Play,Royale Theatre
2014,A Raisin In The Sun '14,Play,Ethel Barrymore Theatre
2009,A Steady Rain,Play,Schoenfeld Theatre
2005,A Streetcar Named Desire 05,Play,Studio 54 Theatre
2012,A Streetcar Named Desire '12,Play,Broadhurst Theatre
1992,A Streetcar Named Desire 92,Play,Ethel Barrymore Theatre
2008,A Tale Of Two Cities,Musical,Al Hirschfeld Theatre
1996,A Thousand Clowns,Play,Criterion Theatre
2001,A Thousand Clowns 01,Play,Longacre Theatre
2013,A Time To Kill,Play,Golden Theatre
2005,A Touch Of The Poet,Play,Studio 54 Theatre
1997,A View From The Bridge,Play,Criterion Theatre
1998,A View From The Bridge,Play,Neil Simon Theatre
2010,A View From The Bridge '10,Play,Cort Theatre
2015,A View From The Bridge 2015,Play,Lyceum Theatre
2003,A Year With Frog And Toad,Musical,Cort Theatre
2005,Absurd Person Singular,Play,Biltmore Theatre
2009,Accent On Youth,Play,Friedman Theatre
2014,Act One,Play,Vivian Beaumont Theatre
2013,After Midnight,Musical,Brooks Atkinson Theatre
2009,After Miss Julie,Play,American Airlines Theatre
2004,After The Fall,Play,American Airlines Theatre
2005,After The Night And The Music,Play,Biltmore Theatre
1998,"Ah, Wilderness",Play,Vivian Beaumont Theatre
2000,Aida,Musical,Palace Theatre
2015,Airline Highway,Play,Friedman Theatre
2014,Aladdin,Musical,New Amsterdam Theatre
2010,All About Me,Musical,Henry Miller (Rndabt) Theatre
2008,All My Sons 08,Play,Schoenfeld Theatre
2005,All Shook Up,Musical,Palace Theatre
2014,All The Way,Play,Neil Simon Theatre
