reviews
" 	Incredible Broadway musical! The funniest I've ever seen. Amazing actors. A New York must do experience.			The Book of 	A Must See!	hzconnect	--	"
" 	My third time seeing the book of s. Absolutely brilliant writing"
" 	I wish I had read the negative reviews of this play before wasting so much money and time to see it! I *thought* it would involve lightly po fun at the Book of "
" 	I was not expecting to enjoy this but had bought tickets for my husband as a present. We went with friends and didn't really know what to expect. The theatre was quite small and the talt of our party was ft and was still quite squashed so not sure how tall people would cope. The show itself was fantastic! There was a lot of swearing but it was also very well written"
" 	Although we are not sorry we went to see this production we cannot help but think we probably are not theatre people. For $ per ticket U.S. i just think i could have taken a taxi to New  for a Devils game or like my wife said maybe go see  s or   or . The   musical we saw last time was still the best we have ever been to.			The Book of 	""I guess you just have to decide at some point """" Am i a theatre person """"""	perogyman	--	"
" 	I was invited by a friend of mine to come and see the show a while back in May "
" 	My bf and I debated awhile what show we wanted to check out during our one day trip to the city. Both being huge fans of Matt Stone and Trey Parker's work on South Park"
" 	I was hoping The Book of  would show up on the TKTS board while I was in NYC. It didn't and I have a feeling it never does. On my last day there (a Saturday)"
" 	""love this musical albeit a bit risqu?? it was laugh out loud funny. It is not for everyone though and I did advise a friend that she may not like it. By the makers of South Park it is a hysterical critique of the missionary's journey to Uganda to civilise the natives with the Good News of the Book of  but it could be any radical Christian group that often head to third world countries to bring their """"truth"""". It is intellectually stimulating and funny send up of this scenario. Acted out well by the entire cast who keep you entertained and laughing throughout the production. Great night in NYC. I took my teenager and she love it but it is definitely for mature audiences and I would definitely research it before jumping in if you are offended easily.""			The Book of 	Hysterical	jennifer L	--	"
" 	This is by far the funniest Broadway show I've seen. It's funny throughout"
" 	Seat were great  rows from front"
" 	The cast was so animated and the script was absolutely hilarious! Recommend this show for anyone (particularly atheists/people who know about ism) loo for a good laugh.			The Book of 	Couldn't stop laughing!	Devi B	--	"
" 	""I enjoyed the musical but I found myself feeling slightly disappointed because I expected much more. It was funny"
" 	I'll begin with full disclosure. I am an evangelical Christian. I firmly believe that God has a sense of humor. Should I have laughed? Yes. Did I laugh? So much my sides hurt. This was the fastest  / hours I have ever experienced. The acting was wonderful...the music was wonderful...the costumes were wonderful (be sure to pay close attention to the details in the costumes...hilarious...broom brist and old Christmas tree toppers!). This is one I'm glad I saw on Broadway and one that I will see time and time again...here and with the traveling troupes. 			The Book of 	I'm ashamed"
" 	No preaching allowed. Just a hilariously irreverent smash and bash musical comedy. What else should you have expected from the South Park folks. The unexpected. 			The Book of 	Irreverent boisterous must see musical	Brad M	--	"
" 	Definitely not a show if you are easily offended and can't see the metaphors beyond the literal word. Acting and singing was superb and the set is very intricate. Would definitely recommend not bringing kids under  (it's raunchy like the movie Ted). Great job by Stone and Parker helping everyone realize faith is more important than anything else			The Book of 	It was even better the second time around	Izzy D	--	"
" 	I was a little skeptical about this play because I am not a huge Southpark fan. My husband and I agreed we would each pick one play to see on our trip and this was his number one pick"
" 	My daughter appreciates the South Park humor at age . She thinks the writers are the most brilliant in satire and music. She was so excited when we were lucky enough to win the lottery tickets outside the theater for a Wednesday matinee. Every show has  extra tickets to raffle off. You just show up between  and  and a half hours before the show and put your name in a bucket. Two hours before the show they draw the names and you pay $ a seat. FRONT ROW AND FRONT BOX SEATS!!!! Otherwise tickets are hard to get without paying a fortune. We were front row center - what a great show!!!!			The Book of 	Best Musical Ever if you love the South Park Humor	nightsky	--	"
" 	""I've been dying to see this show since I heard it was opening. My husband found us tickets on ebay"
" 	We saw the pm show and was thoroughly entertained. Lots of profanity but perfectly timed and not offensive (to us anyway). Small theatre so you get a good view of the show. Some very good performances. Highly recommended.			The Book of 	Funny and entertaining	Steve H	--	"
" 	Truthfully I did not fancy this musical but friend got tickets and Im so glad he did. I never stopped laughing from the first song to the very end. Yes the jokes are very crude and you do laugh at some of the serious problems the play covers but it is well worth seeing. If I get a chance I would go see it again			The Book of 	GOOD EVENING OUT	sharonf	--	"
" 	Our friends highly recommended this and they were spot on"
" 	We saw this last night and it is so funny but would not be appropriate for children and would probably be very offensive to the devoutly religious. But you have to let loose sometimes			The Book of 	Hilarious	Stelly	--	"
" 	""High energy cast"
" 	Very funny! If you have any religious sensitivities at all"
" 	""Yes"
" 	Irreverent bawdy comedy & we love it. We have seen it twice & enjoyed it both times. Adults only"
" 	We went to this show last weekend and enjoyed the singing and dancing however felt like a lot of the subject matter was offensive. Storyline about female circumcision"
" 	""...because of all of the shows we could have picked in NYC"
" 	This was the most damned awful play I have ever been to. it was totally vulgar throughout.... what a piece of crap. I could have spent $ a whole lot better in a casino. It was full of vulgar language and filthy innuendos all the time. I can't believe people cheered. This just shows how the morals of American have been degraded over the last  years!! Jim Jakosh..Grand rapids"
" 	The highlight of our New York visit. Outrageously funny"
