Date.Year,Show.Name,Show.New.Name,Show.Theatre,Show.No,Show.Type
2003,A Day In The Death Of Joe Egg,A Day In The Death Of Joe Egg,American Airlines,47,Play
1997,A Doll'S House,A Doll'S House,Belasco,29,Play
2010,A Free Man Of Color,A Free Man Of Color,Vivian Beaumont,32,Play
1994,A Little More Magic,A Little More Magic,Belasco,29,Special
2008,A Man For All Seasons,A Man For All Seasons,American Airlines,47,Play
1998,A Mom'S Life,A Mom'S Life,Belasco,29,Special
2007,A Moon For The Misbegotten 07,A Moon For The Misbegotten,Brooks Atkinson,32,Play
2005,A Naked Girl On The Appian Way,A Naked Girl On The Appian Way,American Airlines,47,Play
2013,A Night With Janis Joplin,A Night With Janis Joplin,Lyceum,34,Musical
2014,A Raisin In The Sun '14,A Raisin In The Sun ,Ethel Barrymore,29,Play
1992,A Streetcar Named Desire 92,A Streetcar Named Desire ,Ethel Barrymore,29,Play
2010,A View From The Bridge '10,A View From The Bridge ,Cort,34,Play
2015,A View From The Bridge 2015,A View From The Bridge ,Lyceum,34,Play
2003,A Year With Frog And Toad,A Year With Frog And Toad,Cort,34,Musical
2014,Act One,Act One,Vivian Beaumont,32,Play
2013,After Midnight,After Midnight,Brooks Atkinson,32,Musical
2009,After Miss Julie,After Miss Julie,American Airlines,47,Play
2004,After The Fall,After The Fall,American Airlines,47,Play
1998,"Ah, Wilderness","Ah, Wilderness",Vivian Beaumont,32,Play
1999,Amadeus,Amadeus,Music Box,30,Play
2008,American Buffalo,American Buffalo,Belasco,29,Play
2002,Amour,Amour,Music Box,30,Musical
1999,Amy'S View,Amy'S View,Ethel Barrymore,29,Play
2016,An Act Of God 2016,An Act Of God,Booth,36,Play
2002,An Almost Holy Picture,An Almost Holy Picture,American Airlines,47,Play
1997,An American Daughter,An American Daughter,Cort,34,Play
1998,An Evening With Jerry Herman,An Evening With Jerry Herman,Booth,36,Musical
2011,An Evening With Patti Lupone And Mandy Patinkin,An Evening With Patti Lupone And Mandy Patinkin,Ethel Barrymore,29,Special
1996,An Ideal Husband,An Ideal Husband,Ethel Barrymore,29,Play
2013,Ann,Ann,Vivian Beaumont,32,Play
1995,Arcadia,Arcadia,Vivian Beaumont,32,Play
2011,Arcadia '11,Arcadia ,Ethel Barrymore,29,Play
2003,As Long As We Both Shall Laugh,As Long As We Both Shall Laugh,American Airlines,47,Special
2008,August: Osage County,August: Osage County,Music Box,30,Play
2006,Awake And Sing!,Awake And Sing!,Belasco,29,Play
2001,Barbara Cook: Mostly Sondheim,Barbara Cook: Mostly Sondheim,Vivian Beaumont,32,Special
2004,Barbara Cook'S Broadway,Barbara Cook'S Broadway,Vivian Beaumont,32,Special
2006,Barefoot In The Park,Barefoot In The Park,Cort,34,Play
1997,Barrymore,Barrymore,Music Box,30,Play
2002,Bea Arthur On Broadway,Bea Arthur On Broadway,Booth,36,Special
2000,Betrayal,Betrayal,American Airlines,47,Play
2013,Betrayal '13,Betrayal ,Ethel Barrymore,29,Play
2003,Big River '03,Big River ,American Airlines,47,Musical
2016,Blackbird,Blackbird,Belasco,29,Play
2003,Bobbi Boland,Bobbi Boland,Cort,34,Play
2011,Born Yesterday '11,Born Yesterday ,Cort,34,Play
2013,Breakfast At Tiffany'S,Breakfast At Tiffany'S,Cort,34,Play
2016,Bright Star,Bright Star,Cort,34,Musical
1994,Broken Glass,Broken Glass,Booth,36,Play
1996,Buried Child,Buried Child,Brooks Atkinson,32,Play
2006,Butley,Butley,Booth,36,Play
2003,Cat On A Hot Tin Roof 03,Cat On A Hot Tin Roof ,Music Box,30,Play
2012,Chaplin,Chaplin,Ethel Barrymore,29,Musical
1999,Closer,Closer,Music Box,30,Play
2006,Company 06,Company 06,Ethel Barrymore,29,Musical
2000,Contact,Contact,Vivian Beaumont,32,Musical
2007,Cymbeline,Cymbeline,Vivian Beaumont,32,Play
2012,Cyrano De Bergerac '12,Cyrano De Bergerac ,American Airlines,47,Play
2004,Dame Edna:  Back With A Vengeance,Dame Edna:  Back With A Vengeance,Music Box,30,Play
1999,Dame Edna: The Royal Tour,Dame Edna: The Royal Tour,Booth,36,Play
2012,Dead Accounts,Dead Accounts,Music Box,30,Play
2012,Death Of A Salesman '12,Death Of A Salesman ,Ethel Barrymore,29,Play
1997,Defending The Caveman,Defending The Caveman,Booth,36,Play
2004,Democracy,Democracy,Brooks Atkinson,32,Play
2001,Design For Living 01,Design For Living 01,American Airlines,47,Play
2007,Deuce,Deuce,Music Box,30,Play
2002,Dinner At Eight,Dinner At Eight,Vivian Beaumont,32,Play
2014,Disgraced,Disgraced,Lyceum,34,Play
2008,Dividing The Estate,Dividing The Estate,Booth,36,Play
2012,Don'T Dress For Dinner,Don'T Dress For Dinner,American Airlines,47,Play
2004,"Dracula, The Musical","Dracula, The Musical",Belasco,29,Musical
1998,Electra,Electra,Ethel Barrymore,29,Play
2010,Elling,Elling,Ethel Barrymore,29,Play
2003,Enchanted April,Enchanted April,Belasco,29,Play
2012,End Of The Rainbow,End Of The Rainbow,Belasco,29,Play
2010,Everyday Rapture,Everyday Rapture,American Airlines,47,Musical
2009,Exit The King,Exit The King,Ethel Barrymore,29,Play
2006,Faith Healer,Faith Healer,Booth,36,Play
2010,Fences '10,Fences ,Cort,34,Play
2006,Festen,Festen,Music Box,30,Play
2015,Fish In The Dark,Fish In The Dark,Cort,34,Play
2001,Follies,Follies,Belasco,29,Musical
1998,Fool Moon '98,Fool Moon ,Brooks Atkinson,32,Special
2002,Fortune'S Fool,Fortune'S Fool,Music Box,30,Play
2002,Frankie And Johnny In The Claire De Lune,Frankie And Johnny In The Claire De Lune,Belasco,29,Play
1998,Freak,Freak,Cort,34,Play
2016,Fully Committed,Fully Committed,Lyceum,34,Play
2011,Ghetto Klown,Ghetto Klown,Lyceum,34,Play
1996,"God Said ""Ha""","God Said ""Ha""",Lyceum,34,Play
2012,Golden Boy,Golden Boy,Belasco,29,Play
2012,Grace,Grace,Cort,34,Play
2007,Grease 07,Grease 07,Brooks Atkinson,32,Musical
1995,Hamlet 95,Hamlet 95,Belasco,29,Play
2015,Hand To God,Hand To God,Booth,36,Play
2013,Hands On A Hardbody,Hands On A Hardbody,Brooks Atkinson,32,Musical
1995,Having Our Say,Having Our Say,Booth,36,Play
2006,Heartbreak House,Heartbreak House,American Airlines,47,Play
2009,Hedda Gabler 09,Hedda Gabler,American Airlines,47,Play
2014,Hedwig And The Angry Inch,Hedwig And The Angry Inch,Belasco,29,Musical
2003,Henry Iv,Henry Iv,Vivian Beaumont,32,Play
2011,High,High,Booth,36,Play
2002,Hollywood Arms,Hollywood Arms,Cort,34,Play
1998,Honour,Honour,Belasco,29,Play
2016,Hughie 2016,Hughie,Booth,36,Play
2003,I Am My Own Wife,I Am My Own Wife,Lyceum,34,Play
2001,If You Ever Leave Me?I'M Going With You,If You Ever Leave Me?I'M Going With You,Cort,34,Play
2013,I'Ll Eat You Last: A Chat With Sue Mengers,I'Ll Eat You Last: A Chat With Sue Mengers,Booth,36,Play
2002,I'M Not Rappaport '02,I'M Not Rappaport ,Booth,36,Play
1998,I'M Still Here...Damn It!,I'M Still Here...Damn It!,Booth,36,Play
2002,Imaginary Friends,Imaginary Friends,Ethel Barrymore,29,Play
2005,In My Life,In My Life,Music Box,30,Musical
2009,In The Next Room Or The Vibrator Play,In The Next Room Or The Vibrator Play,Lyceum,34,Play
1995,Indiscretions,Indiscretions,Ethel Barrymore,29,Play
2007,Inherit The Wind 07,Inherit The Wind,Lyceum,34,Play
2007,Is He Dead?,Is He Dead?,Lyceum,34,Play
1999,It Ain'T Nothin' But The Blues,It Ain'T Nothin' But The Blues,Vivian Beaumont,32,Musical
2015,It Shoulda Been You,It Shoulda Been You,Brooks Atkinson,32,Musical
1996,It'S A Slippery Slope,It'S A Slippery Slope,Vivian Beaumont,32,Special
1997,Ivanov,Ivanov,Vivian Beaumont,32,Play
2003,Jackie Mason'S Laughing Room Only,Jackie Mason'S Laughing Room Only,Brooks Atkinson,32,Musical
1997,Jackie: An American Life,Jackie: An American Life,Belasco,29,Play
1999,James Joyce'S The Dead,James Joyce'S The Dead,Belasco,29,Musical
2000,Jane Eyre,Jane Eyre,Brooks Atkinson,32,Musical
2011,Jerusalem,Jerusalem,Music Box,30,Play
2009,Joe Turner'S Come And Gone '09,Joe Turner'S Come And Gone ,Belasco,29,Play
2007,Journey'S End,Journey'S End,Belasco,29,Play
1996,Juan Darien,Juan Darien,Vivian Beaumont,32,Musical
2005,Julius Caesar,Julius Caesar,Belasco,29,Play
2004,Jumpers,Jumpers,Brooks Atkinson,32,Play
1999,Kat And The Kings,Kat And The Kings,Cort,34,Musical
2011,Kathy Griffin Wants A Tony,Kathy Griffin Wants A Tony,Belasco,29,Special
2015,King Charles Iii,King Charles Iii,Music Box,30,Play
2004,King Lear,King Lear,Vivian Beaumont,32,Play
2010,La Bete '10,La Bete ,Music Box,30,Play
2004,Laugh Whore,Laugh Whore,Cort,34,Play
2010,Lend Me A Tenor '10,Lend Me A Tenor ,Music Box,30,Play
2008,Les Liaisons Dangereuses 08,Les Liaisons Dangereuses 08,American Airlines,47,Play
2016,Long Day'S Journey Into Night 2016,Long Day'S Journey Into Night,American Airlines,47,Play
2010,Looped,Looped,Lyceum,34,Play
2005,Love / Life,Love / Life,Vivian Beaumont,32,Special
2014,Love Letters 2014,Love Letters,Brooks Atkinson,32,Play
